
CO2 (ppm),Temperature (*C),Humidity (%),,Date,Time
941,32.12,66.6, ,10/17/2019, 12:44:08 AM
952,31.96,67.0, ,10/17/2019, 12:49:29 AM
955,32.03,66.9, ,10/17/2019, 1:00:04 AM
1154,31.04,68.7, ,10/17/2019, 6:50:16 AM
1157,31.14,68.6, ,10/17/2019, 7:00:51 AM
804,30.67,69.4, ,10/17/2019, 7:48:35 AM
825,32.70,65.1, ,10/17/2019, 8:41:43 AM
868,32.74,65.2, ,10/17/2019, 8:52:19 AM
720,34.36,60.1, ,10/17/2019, 10:48:59 AM
1783,34.94,60.2, ,10/17/2019, 11:36:44 AM
1684,35.17,59.9, ,10/17/2019, 11:47:19 AM
894,35.71,60.1, ,10/17/2019, 12:50:56 PM
710,34.74,57.2, ,10/17/2019, 2:10:34 PM
860,35.24,57.7, ,10/17/2019, 3:46:03 PM
